book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
25,136251,136251,2963218,263,545010225,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
27,1,1,41335427,275,439785960,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
28,7624,7624,2766512,458,140283331,9780140283330.0,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
29,18135,18135,3349450,1937,743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
37,100915,100915,4790821,474,60764899,9780060764890.0,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
43,10210,10210,2977639,2568,142437204,9780142437210.0,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,eng,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
54,11,386162,3078186,257,345391802,9780345391800.0,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
55,5129,5129,3204877,515,60929871,9780060929880.0,Aldous Huxley,1932.0,Brave New World,Brave New World,eng,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
60,1618,1618,4259809,183,1400032717,9781400032720.0,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,915790,35796,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,22557272,22557272,41107568,14,1594633665,9781594633670.0,Paula Hawkins,2015.0,The Girl on the Train,The Girl on the Train,eng,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,119322,119322,1536771,287,679879242,9780679879240.0,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
63,6185,6185,1565818,2498,393978893,9780393978900.0,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,eng,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
71,18490,18490,4836639,2618,141439475,9780141439470.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,883563,19993,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
75,227443,227443,3185154,193,014028009X,9780140280100.0,Helen Fielding,1996.0,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
76,14935,14935,2809709,1969,141439661,9780141439660.0,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,Sense and Sensibility,eng,4.06,738894,779382,11526,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
83,1953,1953,2956372,525,141439602,9780141439600.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,637412,677713,13093,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
93,2998,2998,3186437,1350,517189607,9780517189600.0,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng,4.12,639357,692249,13054,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
95,5297,5297,1858012,2303,375751513,9780375751520.0,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,The Picture of Dorian Gray,eng,4.06,590014,674551,19647,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
97,17245,17245,3165724,2207,393970124,9780393970130.0,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,Dracula,eng,3.98,618973,689739,17263,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
108,9416,9416,3237433,144,440241413,9780440241420.0,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
112,15507958,15507958,17763198,168,670026603,9780670026610.0,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,71412,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
125,1420,1420,1885548,1929,521618746,9780521618750.0,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
142,5043,5043,3359698,255,451207149,9780451207140.0,Ken Follett,1989.0,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
154,8852,8852,1896522,1732,743477103,9780743477110.0,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,524826,7609,10551,35408,127354,183871,167642,https://images.gr-assets.com/books/1459795224m/8852.jpg,https://images.gr-assets.com/books/1459795224s/8852.jpg
155,15241,15241,2963845,453,618346260,9780618346260.0,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg,https://images.gr-assets.com/books/1298415523s/15241.jpg
158,6310,6310,2765786,338,142403881,9780142403880.0,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,6236,17193,94240,178216,198862,https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg
160,2623,2623,2612809,1725,192833596,9780192833590.0,Charles Dickens,1860.0,Great Expectations,Great Expectations,eng,3.75,459247,507187,12311,22811,44293,120385,170702,148996,https://images.gr-assets.com/books/1327920219m/2623.jpg,https://images.gr-assets.com/books/1327920219s/2623.jpg
161,18512,18512,2964424,470,345339738,9780345339740.0,J.R.R. Tolkien,1955.0,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,510537,6644,2691,8008,42693,132149,324996,https://images.gr-assets.com/books/1389977161m/18512.jpg,https://images.gr-assets.com/books/1389977161s/18512.jpg
167,4407,30165203,1970226,196,747263744,9780747263750.0,Neil Gaiman,2001.0,American Gods,"American Gods (American Gods, #1)",eng,4.11,378019,518343,27587,9888,24944,83253,178346,221912,https://images.gr-assets.com/books/1258417001m/4407.jpg,https://images.gr-assets.com/books/1258417001s/4407.jpg
171,6969,6969,3360164,1710,141439580,9780141439590.0,"Jane Austen, Fiona Stafford",1815.0,Emma,Emma,eng,3.99,459826,497949,11724,11386,25777,102144,178238,180404,https://images.gr-assets.com/books/1373627931m/6969.jpg,https://images.gr-assets.com/books/1373627931s/6969.jpg
173,227463,227463,23596,283,393312836,9780393312840.0,Anthony Burgess,1962.0,A Clockwork Orange,A Clockwork Orange,eng,3.98,431195,454391,9958,14741,24244,84863,163488,167055,https://images.gr-assets.com/books/1348339306m/227463.jpg,https://images.gr-assets.com/books/1348339306s/227463.jpg
184,39988,39988,1015554,242,141301066,9780141301070.0,"Roald Dahl, Quentin Blake",1988.0,Matilda,Matilda,eng,4.29,440743,463491,11053,4277,10823,64536,152003,231852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
186,37470,37470,3248536,111,743227441,9780743227440.0,Philippa Gregory,2001.0,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080,399223,15846,5311,16716,78620,153807,144769,https://images.gr-assets.com/books/1355932638m/37470.jpg,https://images.gr-assets.com/books/1355932638s/37470.jpg
189,33,33,3462456,380,618640150,9780618640160.0,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,436346,9365,4807,9577,37552,106818,277592,https://images.gr-assets.com/books/1411114164m/33.jpg,https://images.gr-assets.com/books/1411114164s/33.jpg
191,472331,472331,4358649,90,930289234,9780930289230.0,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,Watchmen,en-US,4.35,398018,409323,10851,6349,11732,44847,116877,229518,https://images.gr-assets.com/books/1442239711m/472331.jpg,https://images.gr-assets.com/books/1442239711s/472331.jpg
195,2728527,2728527,2754161,116,385340990,9780385340990.0,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626,423672,39853,7190,17250,68942,155107,175183,https://images.gr-assets.com/books/1351979318m/2728527.jpg,https://images.gr-assets.com/books/1351979318s/2728527.jpg
200,16299,16299,3038872,474,312330871,9780312330870.0,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,eng,4.23,408983,456680,17264,6134,12476,66243,156306,215521,https://images.gr-assets.com/books/1391120695m/16299.jpg,https://images.gr-assets.com/books/1391120695s/16299.jpg
204,5326,5326,3097440,2380,1561797464,9781561797460.0,Charles Dickens,1843.0,A Christmas Carol,A Christmas Carol,,4.02,394540,441396,11568,6737,21415,93906,153823,165515,https://images.gr-assets.com/books/1406512317m/5326.jpg,https://images.gr-assets.com/books/1406512317s/5326.jpg
212,6867,6867,2307233,155,038572179X,9780385721790.0,Ian McEwan,2001.0,Atonement,Atonement,eng,3.88,347006,365658,14815,11473,25462,77135,134788,116800,https://images.gr-assets.com/books/1320449708m/6867.jpg,https://images.gr-assets.com/books/1320449708s/6867.jpg
219,11127,11127,781271,270,66238501,9780066238500.0,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,401676,8871,3772,12192,59975,133056,192681,https://images.gr-assets.com/books/1449868701m/11127.jpg,https://images.gr-assets.com/books/1449868701s/11127.jpg
229,24213,24213,2375385,845,451527747,9780451527740.0,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,4.06,340920,377190,7736,5294,17482,76985,127906,149523,https://images.gr-assets.com/books/1327872220m/24213.jpg,https://images.gr-assets.com/books/1327872220s/24213.jpg
230,2156,2156,2534720,1451,192802631,9780192802640.0,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,Persuasion,eng,4.13,365425,402359,13117,6688,15653,71218,133222,175578,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
248,1622,1622,894834,1379,743477545,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241,361510,5724,5598,20498,84388,130051,120975,https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg
253,16160797,16160797,22002305,48,316206849,9780316206850.0,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712,340495,27258,9729,20151,79290,138955,92370,https://images.gr-assets.com/books/1358716559m/16160797.jpg,https://images.gr-assets.com/books/1358716559s/16160797.jpg
257,13023,13023,2933712,4,517223627,9780517223630.0,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,Alice in Wonderland,eng,4.03,343252,343271,4876,7467,18101,70170,109730,137803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
268,6334,6334,1499998,159,1400078776,9781400078780.0,Kazuo Ishiguro,2005.0,Never Let Me Go,Never Let Me Go,eng,3.8,294123,323627,21927,9081,26036,78203,118163,92144,https://images.gr-assets.com/books/1353048590m/6334.jpg,https://images.gr-assets.com/books/1353048590s/6334.jpg
270,12873,17899948,46663,306,1844080382,9781844080380.0,"Daphne du Maurier, Sally Beauman",1938.0,Rebecca,Rebecca,en-US,4.2,177384,329596,14920,4565,10900,49263,112768,152100,https://images.gr-assets.com/books/1327871977m/12873.jpg,https://images.gr-assets.com/books/1327871977s/12873.jpg
277,15783514,15783514,21500681,109,62255657,9780062255660.0,Neil Gaiman,2013.0,The Ocean at the End of the Lane,The Ocean at the End of the Lane,eng,3.99,293844,336251,37655,7038,18089,64714,127761,118649,https://images.gr-assets.com/books/1497098563m/15783514.jpg,https://images.gr-assets.com/books/1497098563s/15783514.jpg
279,29056083,29056083,48765776,95,751565350,9780751565360.0,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child, Parts One and Two","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng,3.75,270603,397773,53365,15828,35842,96395,133156,116552,https://images.gr-assets.com/books/1470082995m/29056083.jpg,https://images.gr-assets.com/books/1470082995s/29056083.jpg
282,17061,17061,2834844,153,61139378,9780061139380.0,Neil Gaiman,2002.0,Coraline,Coraline,eng,4.03,316379,343630,13905,7078,15010,67188,126167,128187,https://images.gr-assets.com/books/1493497435m/17061.jpg,https://images.gr-assets.com/books/1493497435s/17061.jpg
283,12067,12067,4110990,114,60853980,9780060853980.0,"Terry Pratchett, Neil Gaiman",1990.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US,4.25,298304,326373,13914,4991,10988,44804,101159,164431,https://images.gr-assets.com/books/1392528568m/12067.jpg,https://images.gr-assets.com/books/1392528568s/12067.jpg
289,76620,76620,1357456,193,038039586X,9780380395870.0,Richard Adams,1972.0,Watership Down,"Watership Down (Watership Down, #1)",eng,4.05,292426,308373,10399,9158,15767,52906,102093,128449,https://images.gr-assets.com/books/1405136931m/76620.jpg,https://images.gr-assets.com/books/1405136931s/76620.jpg
292,140225,140225,3349054,299,006112527X,9780061125270.0,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng,4.08,306492,325264,4620,2658,12490,69089,112121,128906,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg
293,295,295,3077988,2573,753453800,9780753453800.0,Robert Louis Stevenson,1882.0,Treasure Island,Treasure Island,eng,3.82,268012,310515,7917,5349,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg
298,2493,2493,3234863,1248,451528557,9780451528550.0,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,The Time Machine,eng,3.87,276076,303730,7353,3570,16119,81773,118129,84139,https://images.gr-assets.com/books/1327942880m/2493.jpg,https://images.gr-assets.com/books/1327942880s/2493.jpg
301,4900,4900,2877220,1369,1892295490,9781892295490.0,Joseph Conrad,1899.0,Heart of Darkness,Heart of Darkness,eng,3.42,255576,308391,9791,25591,42946,84433,88608,66813,https://images.gr-assets.com/books/1392799983m/4900.jpg,https://images.gr-assets.com/books/1392799983s/4900.jpg
308,33724,33724,2888997,94,440241901,9780440241900.0,Sophie Kinsella,2003.0,Can You Keep a Secret?,Can You Keep a Secret?,en-US,3.83,278747,293801,9510,8003,19319,76244,101810,88425,https://images.gr-assets.com/books/1330464293m/33724.jpg,https://images.gr-assets.com/books/1330464293s/33724.jpg
312,2213661,2213661,2219449,129,60530928,9780060530920.0,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,The Graveyard Book,en-US,4.12,302303,325451,23840,5515,12566,53668,120830,132872,https://images.gr-assets.com/books/1303859949m/2213661.jpg,https://images.gr-assets.com/books/1303859949s/2213661.jpg
322,14497,14497,16534,152,60557818,9780060557810.0,Neil Gaiman,1996.0,Neverwhere,Neverwhere,eng,4.18,268318,301740,15680,3126,9628,46996,113506,128484,https://images.gr-assets.com/books/1348747943m/14497.jpg,https://images.gr-assets.com/books/1348747943s/14497.jpg
332,65605,65605,1031537,312,60764902,9780060764910.0,C.S. Lewis,1953.0,The magician's nephew,"The Magician's Nephew (Chronicles of Narnia, #6)",eng,4.01,268355,303570,8690,3168,14602,69051,105375,111374,https://images.gr-assets.com/books/1308814770m/65605.jpg,https://images.gr-assets.com/books/1308814770s/65605.jpg
335,6689,6689,2379261,182,375814248,9780375814240.0,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,James and the Giant Peach,eng,3.99,270402,289737,5120,4235,13199,65762,104078,102463,https://images.gr-assets.com/books/1320412586m/6689.jpg,https://images.gr-assets.com/books/1320412586s/6689.jpg
337,13,13,135328,32,345453743,9780345453750.0,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,222842,238420,4254,2657,6328,26431,66655,136349,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg
338,6280118,6280118,6463667,129,340896965,9780340896970.0,David Nicholls,2009.0,One Day,One Day,eng,3.77,222926,247052,15937,8632,21291,59874,86793,70462,https://images.gr-assets.com/books/1327873020m/6280118.jpg,https://images.gr-assets.com/books/1327873020s/6280118.jpg
347,121749,121749,3348636,348,000720230X,9780007202300.0,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng,3.96,250221,273069,4737,2399,12145,68026,101461,89038,https://images.gr-assets.com/books/1308814880m/121749.jpg,https://images.gr-assets.com/books/1308814880s/121749.jpg
353,12996,12996,995103,1053,743477553,9780743477550.0,William Shakespeare,1603.0,"The Tragedy of Othello, The Moor of Venice",Othello,eng,3.88,238875,256757,4334,4281,16576,64922,92076,78902,https://images.gr-assets.com/books/1459795105m/12996.jpg,https://images.gr-assets.com/books/1459795105s/12996.jpg
361,18254,18254,3057979,1787,141439742,9780141439750.0,"Charles Dickens, George Cruikshank, Philip Horne",1838.0,Oliver Twist,Oliver Twist,eng,3.85,230181,253163,5342,4766,15425,65342,96135,71495,https://images.gr-assets.com/books/1327868529m/18254.jpg,https://images.gr-assets.com/books/1327868529s/18254.jpg
362,11149,17383917,2920952,231,60652896,9780060652890.0,C.S. Lewis,1942.0,A Grief Observed,The Screwtape Letters,eng,4.21,116277,238169,8285,4524,8925,34444,75279,114997,https://images.gr-assets.com/books/1347801873m/11149.jpg,https://images.gr-assets.com/books/1347801873s/11149.jpg
365,5805,5805,392838,72,1401207928,9781401207920.0,"Alan Moore, David   Lloyd",1990.0,V for Vendetta,V for Vendetta,eng,4.25,210682,220640,4138,3564,6593,29496,73094,107893,https://images.gr-assets.com/books/1343668985m/5805.jpg,https://images.gr-assets.com/books/1343668985s/5805.jpg
368,119324,119324,1570229,55,679879250,9780679879250.0,Philip Pullman,1997.0,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,242503,270785,6139,3905,11486,47802,96998,110594,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg
373,6319,6319,1249788,197,141311371,9780141311370.0,"Roald Dahl, Quentin Blake",1982.0,The BFG,The BFG,eng,4.22,245855,264369,7906,2987,7906,42480,86105,124891,https://images.gr-assets.com/books/1327872673m/6319.jpg,https://images.gr-assets.com/books/1327872673s/6319.jpg
377,16793,16793,3166179,207,61142026,9780061142020.0,Neil Gaiman,1999.0,Stardust,Stardust,eng,4.07,237602,277184,13731,2959,10183,52599,109208,102235,https://images.gr-assets.com/books/1459127484m/16793.jpg,https://images.gr-assets.com/books/1459127484s/16793.jpg
390,51496,51496,3164921,1974,451528956,9780451528960.0,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886.0,The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,eng,3.79,223535,259652,7958,2939,16110,76470,100514,63619,https://images.gr-assets.com/books/1318116526m/51496.jpg,https://images.gr-assets.com/books/1318116526s/51496.jpg
399,3950967,3950967,3007490,131,747599874,9780747599880.0,J.K. Rowling,2007.0,The Tales of Beedle the Bard,The Tales of Beedle the Bard,en-US,4.06,284833,319107,11330,3019,15025,69367,103350,128346,https://images.gr-assets.com/books/1373467575m/3950967.jpg,https://images.gr-assets.com/books/1373467575s/3950967.jpg
411,33722,33722,2914,99,385338694,9780385338690.0,Sophie Kinsella,2005.0,The Undomestic Goddess,The Undomestic Goddess,eng,3.82,200509,209361,6772,4985,13344,56048,75290,59694,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
